adset_id,event_date,day_range,y_label,mean,max,min,slope,r2_score
1693371081319475,2021-03-11,5,day_adset_impressions,137.2,463,16,-93.90000000000002,0.6440865540546463
1693489391868948,2021-03-11,5,day_adset_impressions,1564.4,3040,172,506.8,0.4994372231373899
1693371098749988,2021-03-11,5,day_adset_impressions,41.2,116,10,-18.3,0.4521385753631798
1691867329594424,2021-03-11,5,day_adset_impressions,2863.2,7619,3,2188.9999999999995,0.7785240374551136
1693188664835191,2021-03-11,5,day_adset_impressions,17.0,74,1,8.3,0.1686000978952521
1691870285221891,2021-03-11 00:00:00,3,day_adset_impressions,1376.666666666667,3828,90,1868.9999999999993,0.7744514056543061
1685140070427687,2021-03-11 00:00:00,3,day_adset_impressions,42724.333333333336,100825,3848,48488.49999999998,0.8945403607765674
1690397407885357,2021-03-11 00:00:00,3,day_adset_impressions,368286.33333333326,776900,82401,347249.49999999994,0.914340481952484
1691150147451956,2021-03-11 00:00:00,3,day_adset_impressions,14781.0,36032,5,18013.499999999996,0.9116562713899788
1693033519039512,2021-03-11 00:00:00,3,day_adset_impressions,40655.333333333336,52989,34261,-9136.499999999996,0.7313361963199464
1691867247947796,2021-03-11 00:00:00,3,day_adset_impressions,0.0,0,0,0.0,1.0
1688217145441323,2021-03-11 00:00:00,3,day_adset_impressions,43511.333333333336,100439,1226,13821.499999999993,0.07286909626863748
1692200165923895,2021-03-11 00:00:00,3,day_adset_impressions,8749.0,13575,45,6764.999999999997,0.8022739239484873
1691870253860924,2021-03-11 00:00:00,3,day_adset_impressions,21940.33333333333,35424,0,-15198.499999999995,0.6288105400532091
1691869430179853,2021-03-11 00:00:00,3,day_adset_impressions,85609.0,156571,1443,77563.99999999997,0.9787277321148382
1689876986603579,2021-03-11 00:00:00,3,day_adset_impressions,929.0,1087,795,-145.99999999999991,0.9801361044693764
1691973523618862,2021-03-11 00:00:00,3,day_adset_impressions,10400.333333333334,17935,26,8954.499999999996,0.9298652389492268
1693112673261607,2021-03-11 00:00:00,3,day_adset_impressions,16554.0,20517,10388,5064.499999999998,0.8757247286163127
1687397024758798,2021-03-11 00:00:00,3,day_adset_impressions,149518.0,183400,95256,44071.99999999999,0.8617883304935016
1692018680679470,2021-03-11 00:00:00,3,day_adset_impressions,285220.0,387290,225046,9138.99999999999,0.010576020726533296
1691867291706372,2021-03-11 00:00:00,3,day_adset_impressions,10013.666666666666,19693,53,5120.999999999998,0.2717811410800792
1690549659316254,2021-03-11 00:00:00,3,day_adset_impressions,139137.33333333337,222549,25866,98341.49999999996,0.9353272811518586
1692106481089559,2021-03-11 00:00:00,3,day_adset_impressions,101638.66666666669,145851,20463,59069.49999999997,0.7041427302596592
1689876601223207,2021-03-11 00:00:00,3,day_adset_impressions,817.0,2000,26,199.49999999999974,0.036533531237349925
1691867165486088,2021-03-11 00:00:00,3,day_adset_impressions,11847.666666666664,27961,3313,477.9999999999984,0.0011719645384619115
1690133705365591,2021-03-11 00:00:00,3,day_adset_impressions,6412.0,15745,11,7866.999999999997,0.9056520890970048
1685781537340471,2021-03-11 00:00:00,3,day_adset_impressions,77747.66666666669,114612,12101,51255.49999999997,0.8087339153058781
1691870306732043,2021-03-11 00:00:00,3,day_adset_impressions,137018.0,211495,159,105667.99999999996,0.7927747446418937
1693113713711149,2021-03-11 00:00:00,3,day_adset_impressions,2706.6666666666665,3956,1614,467.9999999999996,0.15761098483358393
1689687283731491,2021-03-11 00:00:00,3,day_adset_impressions,347.66666666666674,412,233,82.49999999999996,0.686783155628805
1691869446540350,2021-03-11 00:00:00,3,day_adset_impressions,33462.666666666664,55136,1088,27023.999999999985,0.8947679127862551
1688050147798078,2021-03-11 00:00:00,3,day_adset_impressions,855.6666666666665,1637,417,561.9999999999999,0.6863706957499334
1693299193104403,2021-03-11 00:00:00,3,day_adset_impressions,256046.33333333328,408498,162731,105793.99999999996,0.6315101410791297
1691870300386327,2021-03-11 00:00:00,3,day_adset_impressions,104323.33333333331,158918,316,79300.99999999997,0.7744777219764452
1687393946250302,2021-03-11 00:00:00,3,day_adset_impressions,17627.666666666668,40277,1107,19585.0,0.9315824655855172
1691867312256043,2021-03-11 00:00:00,3,day_adset_impressions,192301.33333333328,460540,21832,219354.0,0.8703248293930691
1691870234880019,2021-03-11 00:00:00,3,day_adset_impressions,115.0,195,65,9.999999999999991,0.020408163265306145
1691543486238765,2021-03-11 00:00:00,3,day_adset_impressions,12814.0,22633,0,-7904.499999999997,0.4635418053461867
1693299197420619,2021-03-11 00:00:00,3,day_adset_impressions,27229.0,81643,0,-22.00000000000372,2.1795292359794158e-07
1690001840622647,2021-03-11 00:00:00,3,day_adset_impressions,16257.0,20791,9139,5825.999999999997,0.8714304683627253
