,day_nominal_cpi,day_adset_impressions
590,0.0,30
591,11.289999961853027,633
592,0.0,578
593,0.0,6
594,0.0,21
595,0.0,341
596,0.0,186
597,0.0,42
598,1.4500000476837158,337
599,0.0,17
600,0.0,13
601,0.0,195
602,0.8100000023841858,47
603,0.0,138
604,0.0,22
605,0.0,40
606,0.0,18
607,0.0,8
608,0.0,22
609,0.0,6
610,5.425000190734863,517
611,0.0,1
612,0.0,13
613,0.0,5
614,0.0,2
615,0.0,2
616,3.4100000858306885,138
617,0.0,236
618,0.0,22
619,0.0,192
620,0.0,85
621,0.2899999916553497,25
622,0.0,83
623,8.352499961853027,5608
624,0.0,247
625,0.0,98
626,1.7000000476837158,207
627,0.0,315
628,0.0,27
629,0.0,104
630,0.0,11
631,2.7699999809265137,599
632,0.0,15
633,0.0,27
634,0.0,22
635,0.0,23
636,0.0,16
637,5.965925693511963,5321
638,7.015391826629639,58004
639,6.945416450500487,7857
640,7.060526371002197,5542
641,5.340714454650879,3259
642,22.584999084472656,1497
643,7.037142753601074,2511
644,0.9399999976158142,179
645,8.279999732971191,2269
646,3.046666622161865,381
647,0.0,279
648,0.0,30
649,0.0,124
650,0.0,105
651,0.0,12
652,0.0,84
653,0.0,62
654,0.0,3
655,0.0,6
656,0.0,1
657,0.0,4
658,0.0,257
659,0.0,164
660,0.0,23
661,1.7100000381469729,103
662,1.7899999618530271,76
663,0.0,4
664,0.0,47
665,7.860000133514403,638
666,0.0,398
667,17.280000686645508,998
668,0.0,238
669,0.0,121
670,0.0,61
671,0.0,103
672,0.0,49
673,0.0,384
674,0.0,49
675,0.0,88
676,0.0,14
677,0.0,5
678,0.0,16
679,2.3499999046325684,166
680,0.0,132
681,0.0,33
682,0.0,135
683,0.0,52
684,0.0,21
685,0.0,67
686,0.0,0
687,0.0,0
688,0.0,0
689,0.0,11
690,0.0,256
691,0.0,4
692,0.0,35
693,0.0,71
694,0.0,33
695,0.0,38
696,6.010000228881836,411
697,0.0,157
698,5.670000076293945,403
699,0.0,168
700,1.1599999666213991,74
701,0.0,12
702,0.0,47
703,0.0,103
704,0.0,135
705,0.0,51
706,19.450000762939453,765
707,0.959999978542328,42
708,0.0,18
709,0.0,31
710,0.0,125
711,0.0,201
712,0.0,17
713,1.0299999713897705,86
714,0.0,38
715,0.0,14
716,0.0,39
717,0.0,74
718,0.0,354
719,0.0,24
720,0.0,100
721,0.0,40
722,0.0,23
723,0.0,73
724,0.0,78
725,0.0,38
726,0.0,31
727,0.0,188
728,0.0,57
729,0.0,5
730,0.0,36
731,0.0,0
732,0.0,0
733,0.0,0
734,0.0,0
735,0.0,0
736,0.0,0
737,0.0,0
738,9.97396183013916,141685
739,2.0976922512054443,1446
740,0.0,310
741,9.35954761505127,71451
742,13.049362182617188,137263
743,7.259285926818848,2835
744,7.268196582794189,10773
745,8.907752990722656,19875
746,0.0,0
747,8.751473426818848,7389
748,8.45545482635498,13488
749,8.941851615905762,4855
750,0.8059999942779541,293
751,9.020464897155762,4199
752,0.0,84
753,0.0,140
754,0.0,93
755,0.0,15
756,0.0,9
757,0.0,57
758,0.0,47
759,0.0,181
760,0.0,83
761,0.0,10
762,0.0,249
763,1.0399999618530271,98
764,0.0,605
765,0.0,50
766,7.309999942779541,1316
767,0.0,360
768,0.0,259
769,0.9350000023841858,45
770,12.633000373840332,3047
771,0.0,0
772,0.0,0
773,0.0,0
774,0.0,18
775,0.0,43
776,0.0,4
777,0.0,3
778,0.0,30
779,0.0,7
780,0.0,30
781,0.0,23
782,0.0,6
783,0.0,54
784,0.0,6
785,0.0,0
786,0.0,13
787,0.0,6
788,0.0,0
789,0.0,2
790,0.0,1
791,0.0,0
792,0.0,0
793,0.0,0
794,0.0,0
795,0.0,0
796,2.869999885559082,159
797,2.8350000381469727,648
798,3.0799999237060547,114
799,0.0,28
800,0.0,1
801,0.0,9
802,11.619999885559082,254
803,0.0,600
804,12.973333358764648,2532
805,0.0,234
806,0.0,16
807,0.0,1194
